year,export_value,import_value,location_code,partner_code,hs_product_code
2012,109887928,18041012411,JPN,IDN,3
2014,115145066,12365724202,JPN,IDN,3
2005,46180737,11025687664,JPN,IDN,3
2013,251226908,15528430706,JPN,IDN,3
2010,3016602361,9177223533,KOR,IDN,3
2011,6342759647,12277780684,KOR,IDN,3
2012,5430350860,11131706043,KOR,IDN,3
2013,3339712159,7998573511,KOR,IDN,3
2014,3894408477,7067484221,KOR,IDN,3
2008,10215951327,3382762818,SGP,IDN,3
2011,15072058868,7221441042,SGP,IDN,3
2013,13923920729,6469937670,SGP,IDN,3
2015,8047857232,3777468760,SGP,IDN,3
2017,7738769198,3429235698,SGP,IDN,3
2014,13944095106,6756775646,SGP,IDN,3
2012,14440138474,6590331204,SGP,IDN,3
2010,9869086508,4217436188,SGP,IDN,3
2010,7482509337,4977294976,ARE,IND,3
2011,10966545522,6136727795,ARE,IND,3
2012,12847952095,5573678806,ARE,IND,3
2013,11236566498,5025815050,ARE,IND,3
2014,11950727646,6635059531,ARE,IND,3
2016,6992133307,3314272602,ARE,IND,3
2017,7602341777,3878473659,ARE,IND,3
2015,6829245567,3628092489,ARE,IND,3
2008,8587397437,4310062926,ARE,IND,3
2017,8780781698,1353384008,AUS,IND,3
2008,1367807763,14734799202,CHN,IND,3
2011,1504205074,10896982374,CHN,IND,3
2008,12384176362,988575939,IRN,IND,3
2012,10912891032,37701809,IRN,IND,3
2011,16498890301,23426891,IRQ,IND,3
2014,15195327025,30768061,IRQ,IND,3
2015,10677151515,12866804,IRQ,IND,3
2012,18480462870,136869520,IRQ,IND,3
2013,19147007329,6336160,IRQ,IND,3
2017,14479430851,167148438,IRQ,IND,3
2011,13206460766,40497540,KWT,IND,3
2013,15640643857,41438438,KWT,IND,3
2014,13459338328,35711405,KWT,IND,3
2012,17079692089,32108499,KWT,IND,3
2014,15270700739,42736000,NGA,IND,3
2013,13033393377,44134745,NGA,IND,3
2011,12840467087,51312659,NGA,IND,3
2012,13674724610,69840757,NGA,IND,3
2012,14987556200,95945301,QAT,IND,3
2013,12695856448,69043785,QAT,IND,3
2014,14902879007,66029816,QAT,IND,3
2011,9782650550,293769866,QAT,IND,3
2008,20048563296,1244038624,SAU,IND,3
2010,16853678099,539145581,SAU,IND,3
2011,23956576847,1064879191,SAU,IND,3
2013,30774727879,6886276102,SAU,IND,3
2014,26079983738,7066491569,SAU,IND,3
2015,15334527597,1852376668,SAU,IND,3
2016,13051333234,594967582,SAU,IND,3
2007,14158623170,352250530,SAU,IND,3
2009,12200660428,772162226,SAU,IND,3
2012,27247076573,4017835166,SAU,IND,3
2017,16114830552,505277281,SAU,IND,3
2011,2917922304,8175471071,SGP,IND,3
2012,11507332399,11863531,VEN,IND,3
2013,14195484128,5688357,VEN,IND,3
2014,12482067036,4685390,VEN,IND,3
2006,11824651512,87925898,ANS,IND,3
2000,12675808083,1322345088,ANS,IND,3
2001,13246926676,2063460011,ANS,IND,3
2002,15233905037,561054844,ANS,IND,3
2003,18630143227,15755990,ANS,IND,3
2004,25936892974,141141096,ANS,IND,3
2005,37965981398,80968546,ANS,IND,3
2007,94746297,11986207612,CHN,IRN,3
2008,130610333,17447530230,CHN,IRN,3
2009,33671298,10946840707,CHN,IRN,3
2010,81439257,14502895765,CHN,IRN,3
2011,74704159,24556976191,CHN,IRN,3
2012,69919705,19888772387,CHN,IRN,3
2013,114510668,19591776787,CHN,IRN,3
2014,487552728,22471876630,CHN,IRN,3
2015,215329805,11812484548,CHN,IRN,3
2016,88882253,10559749710,CHN,IRN,3
2017,119585737,13727065849,CHN,IRN,3
2008,988575939,12384176362,IND,IRN,3
2012,37701809,10912891032,IND,IRN,3
2006,549935,15029871918,JPN,IRN,3
2007,9250253,11833286787,JPN,IRN,3
2008,873491,17166636098,JPN,IRN,3
2010,945126,10487197604,JPN,IRN,3
2011,963093,12164386067,JPN,IRN,3
2005,5575552,16976559959,JPN,IRN,3
2011,72854224,10318983234,KOR,IRN,3
2006,60921792,14051877456,TWN,IRN,3
2010,4755210,36062691343,TWN,IRN,3
2011,1907100,46383043259,TWN,IRN,3
2013,157641,25386024963,TWN,IRN,3
2014,143867,49683288833,TWN,IRN,3
2016,191793,32006358776,TWN,IRN,3
2017,132747,44321030786,TWN,IRN,3
2004,2707760,11922796470,ANS,IRN,3
2005,43149623,14347663360,ANS,IRN,3
2011,11787031780,547635968,ANS,ISR,3
2012,12629229688,614555992,ANS,ISR,3
2013,12653954179,510646000,ANS,ISR,3
2014,10380929528,580701000,ANS,ISR,3
2008,9604746400,531646040,ANS,ISR,3
2011,10851030270,2838476,AZE,ITA,3
2010,10109868132,243515313,DZA,ITA,3
2012,10892710941,1106026407,DZA,ITA,3
2011,10844713229,469106698,DZA,ITA,3
2009,13497560385,1137649335,LBY,ITA,3
2010,15446337477,1336741311,LBY,ITA,3
2007,15396142889,977199247,LBY,ITA,3
2012,15710474256,1718995259,LBY,ITA,3
2013,10593103547,1908558612,LBY,ITA,3
2005,10832145668,643871246,LBY,ITA,3
2008,20958635269,1882890842,LBY,ITA,3
2006,12657926504,603343265,LBY,ITA,3
2007,17700064914,12438083,RUS,ITA,3
2015,12052281072,27933959,RUS,ITA,3
2017,10384526491,24869289,RUS,ITA,3
2009,14295816068,13072914,RUS,ITA,3
2012,19324181585,46271483,RUS,ITA,3
